####################################################################################################
# Month: 03Mar                                                                                     #
# Station: SKS                                                                                     #
# Columns are: year    day     RH (percent)                                                        #
####################################################################################################
year,day,RH
9,1,0.25335325
9,2,0.60379787
9,3,0.64026838
9,4,0.42441975
9,5,0.4589545
9,6,0.54629212
9,7,0.50378712
9,8,0.76980588
9,9,0.45009788
9,10,0.09549662
9,11,0.1652175
9,12,0.46360038
9,13,0.73504875
9,14,0.51432038
9,15,0.59885075
9,16,0.429827
9,17,0.558272
9,18,0.55704562
9,19,0.10470062
9,20,0.1689415
9,21,0.67710125
9,22,0.498244
9,23,0.80091962
9,24,0.4394305
9,25,0.23048762
9,26,0.47401762
9,27,0.36879588
9,28,0.21292212
9,29,0.32883825
9,30,0.3622355
9,31,0.60346875
