####################################################################################################
# Month: 07Jul                                                                                     #
# Station: BGA                                                                                     #
# Columns are: year    day     RH (percent)                                                        #
####################################################################################################
year,day,RH
9,1,0.94426575
9,2,0.93991763
9,3,0.95913775
9,4,0.93899938
9,5,0.85264325
9,6,0.86749888
9,7,0.87749138
9,8,0.58150075
9,9,0.81691525
9,10,0.73898662
9,11,0.83823
9,12,0.85859175
9,13,0.31705025
9,14,0.27052212
9,15,0.3288425
9,16,0.42035212
9,17,0.75756538
9,18,0.72206312
9,19,0.74166138
9,20,0.35555188
9,21,0.25726788
9,22,0.343532
9,23,0.32970112
9,24,0.41479088
9,25,0.40706938
9,26,0.54424787
9,27,0.23680212
9,28,0.35242675
9,29,0.64076588
9,30,0.73924438
9,31,0.66644612
