####################################################################################################
# Month: 07Jul                                                                                     #
# Station: GARS                                                                                    #
# Columns are: year    day     RH (percent)                                                        #
####################################################################################################
year,day,RH
9,1,0.97160175
9,2,0.974532
9,3,0.9925455
9,4,0.97259988
9,5,0.99224112
9,6,0.894587
9,7,0.927578
9,8,0.99455725
9,9,0.94009775
9,10,0.91591288
9,11,0.99532262
9,12,0.996772
9,13,0.925155
9,14,0.7860885
9,15,0.986468
9,16,0.98558512
9,17,0.77192912
9,18,0.90630825
9,19,0.75431288
9,20,1.00324763
9,21,0.94979712
9,22,0.84343862
9,23,0.81603575
9,24,0.889171
9,25,0.90200512
9,26,0.99223388
9,27,0.98696413
9,28,0.9854745
9,29,0.6641905
9,30,0.6080525
9,31,0.94596188
