####################################################################################################
# Month: 06Jun                                                                                     #
# Station: BOL                                                                                     #
# Columns are: year    day     RH (percent)                                                        #
####################################################################################################
year,day,RH
9,1,0.16193087
9,2,0.0782185
9,3,0.05672362
9,4,0.02925112
9,5,0.02317638
9,6,0.03498375
9,7,0.07343238
9,8,0.136277
9,9,0.07851588
9,10,0.07308263
9,11,0.299855
9,12,0.37568888
9,13,0.19162625
9,14,0.30905688
9,15,0.18324975
9,16,0.22062938
9,17,0.24024075
9,18,0.14452875
9,19,0.31412225
9,20,0.66929812
9,21,0.34856212
9,22,0.71024325
9,23,0.890823
9,24,0.92278212
9,25,0.5495675
9,26,0.15415925
9,27,0.13330512
9,28,0.09017512
9,29,0.0660135
9,30,0.17479975
