####################################################################################################
# Month: 02Feb                                                                                     #
# Station: ALMA                                                                                    #
# Columns are: year    day     RH (percent)                                                        #
####################################################################################################
year,day,RH
9,1,0.11210125
9,2,0.16507213
9,3,0.1666085
9,4,0.27130025
9,5,0.1978025
9,6,0.08532788
9,7,0.13795675
9,8,0.24385712
9,9,0.42868738
9,10,0.1882605
9,11,0.0819785
9,12,0.34408488
9,13,0.06945087
9,14,0.32338862
9,15,0.24401825
9,16,0.23794187
9,17,0.65958925
9,18,0.91344388
9,19,0.76418925
9,20,0.51190675
9,21,0.5695485
9,22,0.33414188
9,23,0.34112962
9,24,0.15881438
9,25,0.34705038
9,26,0.44507475
9,27,0.78368138
9,28,0.84489575
