####################################################################################################
# Month: 02Feb                                                                                     #
# Station: KEN                                                                                     #
# Columns are: year    day     RH (percent)                                                        #
####################################################################################################
year,day,RH
9,1,0.51123888
9,2,0.44638425
9,3,0.56966425
9,4,0.52288987
9,5,0.36071225
9,6,0.65824612
9,7,0.78757412
9,8,0.6624165
9,9,0.66774625
9,10,0.64070263
9,11,0.470324
9,12,0.55963225
9,13,0.32941675
9,14,0.37694175
9,15,0.54818875
9,16,0.75658988
9,17,0.38228888
9,18,0.49204012
9,19,0.32932588
9,20,0.352614
9,21,0.241417
9,22,0.37921575
9,23,0.87128875
9,24,0.62645175
9,25,0.37901825
9,26,0.64301725
9,27,0.61036325
9,28,0.47037175
